# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      2.66e+01    2.52e+01      7.44e-02    4.65e-01      8.40e-01    7.95e-01    1.0e-03
    100      9.47e+00    9.20e+00      3.61e-02    6.62e-02      4.97e-01    4.82e-01    3.6e-04
    200      4.48e+00    4.17e+00      2.49e-02    4.04e-03      3.89e-01    3.62e-01    1.3e-04
    300      2.40e+00    2.48e+00      5.74e-03    1.51e-02      3.45e-01    3.54e-01    4.8e-05
    400      1.55e+00    1.50e+00      2.05e-03    2.97e-03      3.64e-01    3.51e-01    1.7e-05
    500      9.63e-01    9.94e-01      1.03e-02    9.66e-04      3.52e-01    3.70e-01    6.2e-06
    600      6.60e-01    6.89e-01      4.82e-03    2.77e-03      3.64e-01    3.81e-01    2.3e-06
    700      4.91e-01    4.95e-01      6.04e-03    3.62e-04      3.57e-01    3.67e-01    8.2e-07
    800      4.12e-01    4.08e-01      4.85e-03    6.11e-03      3.56e-01    3.50e-01    3.0e-07
    900      3.76e-01    3.74e-01      3.60e-03    4.79e-03      3.52e-01    3.49e-01    1.1e-07
   1000      3.81e-01    3.50e-01      4.03e-03    6.05e-03      3.66e-01    3.33e-01    3.9e-08
